id,common_name,ra,dec,size,mag,type
NGC 6231,,253.49999999999994,-41.8,15.0,2.5999999046325684,C+N
NGC 6405,,265.025,-32.21666666666667,15.0,4.199999809265137,OC
NGC 6694,,281.29999999999995,-9.4,15.0,8.0,OC
NGC 6738,,285.34999999999997,11.6,15.0,8.0,OC
NGC 6755,,286.94999999999993,4.233333333333333,15.0,7.5,OC
NGC 6883,,302.82499999999993,35.85,15.0,8.0,OC
NGC 6997,,314.12499999999994,44.63333333333333,15.0,10.0,OC
NGC 7686,,352.54999999999995,49.13333333333333,15.0,5.599999904632568,OC
NGC 3628,,170.07499999999996,13.6,14.800000190734863,9.5,Gx
NGC 3109,,150.77499999999998,-26.15,14.5,10.0,Gx
NGC 6218,,251.79999999999995,-1.95,14.5,6.599999904632568,Gb
NGC 188,,10.999999999999998,85.33333333333333,14.0,8.100000381469727,OC
NGC 346,,14.774999999999999,-72.18333333333334,14.0,10.300000190734863,C+N
NGC 1342,,52.9,37.333333333333336,14.0,6.699999809265137,OC
NGC 5316,,208.47499999999997,-61.86666666666667,14.0,6.0,OC
NGC 288,,13.2,-26.583333333333332,13.800000190734863,8.100000381469727,Gb
NGC 2808,,137.99999999999997,-64.86666666666666,13.800000190734863,6.300000190734863,Gb
NGC 4656,,190.99999999999997,32.166666666666664,13.800000190734863,10.399999618530273,Gx
NGC 891,,35.65,42.35,13.5,10.0,Gx
NGC 4833,,194.89999999999998,-70.88333333333334,13.5,7.400000095367432,Gb
NGC 2905,,143.04999999999998,21.516666666666666,13.300000190734863,10.0,Gx
NGC 6541,,271.99999999999994,-43.7,13.100000381469727,6.599999904632568,Gb
NGC 457,,19.775,58.333333333333336,13.0,6.400000095367432,OC
NGC 2204,,93.92499999999998,-18.65,13.0,8.600000381469727,OC
NGC 2360,,109.44999999999999,-15.616666666666667,13.0,7.199999809265137,OC
NGC 2571,,124.72499999999998,-29.733333333333334,13.0,7.0,OC
NGC 6067,,243.29999999999995,-54.21666666666667,13.0,5.599999904632568,OC
NGC 6531,,271.15,-22.5,13.0,5.900000095367432,OC
NGC 6546,,271.79999999999995,-23.333333333333332,13.0,8.0,OC
NGC 6568,,273.2,-21.6,13.0,9.0,OC
NGC 6709,,282.875,10.35,13.0,6.699999809265137,OC
NGC 6811,,294.54999999999995,46.56666666666667,13.0,6.800000190734863,OC
NGC 7654,,351.04999999999995,61.583333333333336,13.0,6.900000095367432,OC
NGC 147,,8.299999999999999,48.5,12.899999618530273,9.300000190734863,Gx
NGC 362,,15.799999999999997,-70.85,12.899999618530273,6.599999904632568,Gb
NGC 4395,,186.44999999999996,33.55,12.899999618530273,10.199999809265137,Gx
NGC 7089,,323.37499999999994,-0.8166666666666667,12.899999618530273,6.5,Gb
NGC 2903,Lion's Tongue,143.04999999999998,21.5,12.600000381469727,8.899999618530273,Gx
NGC 5024,,198.22499999999997,18.166666666666668,12.600000381469727,7.699999809265137,Gb
NGC 5897,,229.34999999999997,-21.016666666666666,12.600000381469727,8.600000381469727,Gb
NGC 5055,,198.95,42.03333333333333,12.300000190734863,8.600000381469727,Gx
NGC 5907,,228.975,56.31666666666667,12.300000190734863,10.399999618530273,Gx
NGC 225,,10.849999999999998,61.78333333333333,12.0,7.0,OC
IC 1613,,16.2,2.1166666666666667,12.0,9.300000190734863,Gx
NGC 1960,,84.02499999999999,34.13333333333333,12.0,6.0,OC
NGC 2301,,102.94999999999999,0.4666666666666667,12.0,6.0,OC
NGC 2335,,106.64999999999999,-10.083333333333334,12.0,7.199999809265137,OC
NGC 2345,,107.07499999999999,-13.166666666666666,12.0,7.699999809265137,OC
NGC 2395,,111.77499999999999,13.583333333333334,12.0,8.0,OC
NGC 2482,,118.72499999999998,-24.3,12.0,7.300000190734863,OC
NGC 2658,,130.84999999999997,-32.65,12.0,9.0,OC
NGC 2669,,131.225,-52.96666666666667,12.0,6.099999904632568,OC
NGC 2925,,143.42499999999998,-53.43333333333333,12.0,8.0,OC
NGC 3603,,168.77499999999998,-61.25,12.0,9.100000381469727,C+N
IC 2714,,169.475,-62.7,12.0,8.0,OC
NGC 3680,,171.42499999999998,-43.25,12.0,7.599999904632568,OC
NGC 3766,,174.02499999999998,-61.61666666666667,12.0,5.300000190734863,OC
